image,caption
129790261.jpg,a painter shows off his talent in front of a group of people
4862877623.jpg,a man on a red bike popping a wheelie .
226634003.jpg,"two women walking down a sidewalk hugging at the waist , both women are wearing hats ."
160585932.jpg,the four wheel drive car is driving through a river .
3403360721.jpg,two people are sitting at work stations .
2773011586.jpg,two people are riding down a log flume in a theme park .
532036676.jpg,a little boy stands in the doorway of a van .
4813959713.jpg,a black lady in a red dress and green earrings is looking at her cellphone .
5381104643.jpg,a woman in a purple shirt playing an instrument .
5411504795.jpg,a young child holding a flower to her nose
254133261.jpg,"people lounge on the beach in beach chairs , on the sand , or near their four-wheelers ."
256439287.jpg,a woman pushes a man in a wheelchair in a european courtyard .
4931383325.jpg,"two girls , one with dark hair , wearing glasses and red pants , the other with a blue shirt and jeans with blond-hair talking and walking down a sidewalk ."
2863027424.jpg,a man rides a bike through a wooded trail .
241346709.jpg,a football player running with the ball .
4509482298.jpg,a group of people sitting at some sort of gathering .
6005955072.jpg,"married , time conscious , male horn player performing on stage ."
2410618963.jpg,a young boy in blue shorts and a red shirt runs by graffiti .
79770548.jpg,two men in black clothes with blue and red bowties are performing in front of a crowd .
6782145166.jpg,a college basketball player rises for a jump shot while the opposing player attempts to block the shot .
4566579662.jpg,two guy 's standing in front of a bicycle looking into a plastic bag .
4084558283.jpg,the man is giving the child a ride on his dog sled .
119364730.jpg,a man wearing a bib with a red crab on it is trying to decide if he wants to eat a boiled crab .
3887428186.jpg,the electrical worker in the back of his work truck .
109260218.jpg,spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
3219065971.jpg,a small boy holding a hand of cards with uno cards in the foreground .
3831892579.jpg,someone is preparing a meal .
3504479370.jpg,british police standing at a parade .
1454217779.jpg,a young man is looking inside the mouth of a lizard like figure .
4173843036.jpg,a white man using a bull horn is having a peaceful demonstration to make people aware of the energy it requires for manufacturers to produce plastic bottles for water .
4561823639.jpg,a man standing alone playing with a saxophone in a empty square with red floor tiles .
3625537155.jpg,many people are gathered around tents .
7025947589.jpg,a male sweeping the concrete .
3079787482.jpg,a young child is being held by another child looking straight at us .
2842609837.jpg,a man wearing black stands with three woman who have blond-hair .
4770070628.jpg,a young oriental woman in a bright blue shirt is carrying several yellow shopping bags .
4571029078.jpg,two young women walk side by side with a large group of people in the background .
4552850835.jpg,"a person dressed in black , standing in the doorway of a big cement building ."
43194646.jpg,a man with a brown suit jacket playing the piano and singing into a microphone .
4930631660.jpg,two women are reading papers on a park bench .
2861932486.jpg,a ban in a gray swaetshirt picks out greens in a supermarket .
2392760448.jpg,a man pushing a cart on a dirt road .
4175221212.jpg,two silhouettes of joggers as they go under a dimly lit tunnel .
2783150873.jpg,a young boy showing off a orange and white striped costume with a orange and white joker hat .
3667318593.jpg,a girl sits on a swing ride .
680790383.jpg,man holding an empty paper plate .
222759342.jpg,a small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons .
3780240908.jpg,two young men in unusual clothing are jumping in a gym .
7726370800.jpg,one man is singing into a microphone and another man is playing guitar .
2526752524.jpg,a man wearing a white shirt tosses a frisbee in the park .
4551995611.jpg,three girls are looking over the side of a stone railing at a river in front of them .
157192048.jpg,a man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit .
2287887341.jpg,the dog waits patiently in the car for its owner .
101471792.jpg,a man in a red jacket shades the sun from his eyes on a busy street .
6848902929.jpg,a bartender wearing a black button up shirt is pouring two beverages .
7684654986.jpg,five young boys in blue shirts are writing in notebooks at a table .
2824922268.jpg,a dog splashes water while on green grass .
1244485675.jpg,the young asian boy looks at his reflection in the park .
507035997.jpg,a man in a green shirt seasoning food on a grill .
3123770450.jpg,a deer and several turkeys together in the snow
265561932.jpg,several men having a drink at a bar .
1285874746.jpg,a dark-skinned woman in a blue dress is standing near a crowd .
3431636707.jpg,a man in a blue pin striped shirt waiting for his food that he has ordered .
4445607388.jpg,"a large , light blue van advertises beach gear on its side with dark clouds in the background ."
2432038587.jpg,a dog chases two geese .
1184910489.jpg,a woman with two kids walks towards a building .
4803941821.jpg,"a street vendor wearing a gray shirt , gray pants , and a blue baseball cap is selling bananas and limes from blue plastic crates ."
3291515826.jpg,six men in orange vests and hard hats on a ship .
2596514158.jpg,a little boy in a life jacket jumping into a pool .
105335409.jpg,a mass transit person making an announcement .
2900242501.jpg,a person in a yellow top and green shorts stands in a field by a soccer goal .
3342952175.jpg,a young boy in a blue jacket going down a slide .
7034076961.jpg,"two guys , one wearing a red costume and the other wearing a white top and black shorts , are playing beach volleyball ."
3093728951.jpg,several adults and children rioting for smaller class sizes .
4923233692.jpg,two men and one woman wearing suits walking down a street .
3772446893.jpg,a woman sitting next to roses .
1955172907.jpg,a woman holds a cellphone up in to take a picture over a large crowd .
6247027584.jpg,a man and a woman wearing helmets and sunglasses are sitting outside in a park .
2678612999.jpg,three young boys are playing soccer on the grass .
189570539.jpg,two young girls in bathing suits laugh while standing under a fountain of water .
4406792181.jpg,the child in the striped shirt is laying under the desk .
4760648961.jpg,a child closes her eyes and puckers her lips .
2238759450.jpg,a woman pulls her raft into the water .
2088910854.jpg,an man with a black ski cap and a red and white headband looks into the distance .
4369134678.jpg,a man wearing a white uniform cuts a tree in front of a white house .
4172764408.jpg,two man wearing suits and playing with saxophones .
4671115139.jpg,a group of men in black suits and black hats are standing along a parade route .
981727078.jpg,two men using a pay phone .
3931111565.jpg,"female wearing a pink helmet , white shirt and white gym shorts , parking her motorcycle along side a busy sidewalk cafe ."
4662948361.jpg,an orange vehicle parked on a bridge .
4809590488.jpg,a woman in a red jacket plays guitar near a microphone and speaker .
3839004579.jpg,the boy is doing a jump in the air on his bike .
4979311570.jpg,a mural of children on a brick wall .
3081330705.jpg,a man stands on a mountain overlooking trees and a lake .
5453806694.jpg,mounted and foot riot police are running .
4510551119.jpg,an elderly man sells magazines in a stand .
2407528766.jpg,teenage boy riding a bicycle through a grassy field .
4971911720.jpg,a woman and her daughter wait for their ride after getting groceries as two people walk past them .
2687229880.jpg,a woman in a black shirt walking down the street
2786242106.jpg,a young boy runs through the sandy corridors of a rock garden maze .
2638884564.jpg,a woman with a white shirt walking down the sidewalk .
1394620454.jpg,a man posing in a rocky area
2602215145.jpg,a man with green cap standing near a street with a lawn mower .
2537819002.jpg,construction workers work on railroad tracks at night .
3673035152.jpg,a little girl in an orange striped outfit is airborne whilst bouncing on a bed .
2369248869.jpg,a dog running through the water right toward the camera .
114474325.jpg,a guy with five girls out climbing on an old tree in a park area .
2021613437.jpg,one little boy dribbles his basketball .
4633772793.jpg,a man in a colorful beanie hat next to a woman holding an umbrella .
218096711.jpg,a girl sits in bed reading a book .
527049391.jpg,bill gates and steve jobs sitting in red chairs beside each other .
3713868971.jpg,a woman and a horse are jumping over a miniature building .
1947351225.jpg,a child shows other kids his still packaged toy .
6083302879.jpg,two police officers are standing in uniform .
1787222774.jpg,kids ride outside in red car .
1536597926.jpg,two hikers rest on a snow-covered mountain .
4650893755.jpg,people waiting to board a public rail system .
4669711863.jpg,person lies down on an orange cloth in front of giant billboard with gating in front of it .
3498240367.jpg,two children stick their head in holes of cardboard scenery .
3341919445.jpg,"a brown-haired , little girl itches her eye in a stroller ."
1342780478.jpg,a man with a white shirt and tie is standing on a sidewalk between cement barriers .
3716277216.jpg,three african women in traditional orange costume are gathered in front of a yellow curtain .
3585117340.jpg,four white and brown puppies are sleeping together on a blue blanket .
3538686658.jpg,a person in a blue biking uniform is ridding a dirt bike on a grassy track .
238964239.jpg,a person is reading tarot cards while four other young people sit around them .
3287549827.jpg,person in gray jacket and blue pants balancing board on handrail
5931115247.jpg,"a child wearing rollerblades , knee pads , a helmet , and elbow pads is skating down a paved path ."
2726157819.jpg,men in yellow and green suits dance in the street .
2763044275.jpg,five black dogs running across the grass .
3395865192.jpg,two players reaching for a basketball as three other players and a referee look on .
29850055.jpg,a little boy is playing with sand at the beach .
4882632874.jpg,a man is walking down the street next to a colorful wall .
2279380619.jpg,"a man wearing blue shorts , striped shirt , and brown sandals stands at a street vendor selling vegetables engaging with a person working there in a sleeveless shirt ."
4850651669.jpg,a man dressed as a woman roller-blading .
3304511635.jpg,a woman in an orange dress is dancing with a man in a black suit .
2980958891.jpg,one man wearing a striped shirt and sunglasses jumps in the air next to another man in a black graphic tee leaping in the air with his arms outstretched in front of a building .
3315353266.jpg,a man dressed in purple playing guitar
3370085095.jpg,"a man with a white beard , a partially bald man and a woman with short hair posing for a picture"
5269420231.jpg,"a blond woman is dancing , while wearing red leg warmers ."
3042679440.jpg,a brightly lit urban street with lots of people walking across a street .
